cell_a,cell_b,source_cell_a,source_cell_b,correlation,pvalue
17,32,33,89,0.181880921125412,9.989493159802949e-24
18,35,36,97,0.2584354877471924,0.0
19,24,38,52,0.20910319685935974,5.422728473111653e-31
19,27,38,62,0.18724772334098816,4.487306083376496e-25
19,41,38,119,0.3787696361541748,0.0
19,46,38,137,0.19837586581707,5.3177280213888595e-28
20,22,40,44,0.20139746367931366,7.946016209027441e-29
20,29,40,73,0.3153850734233856,0.0
20,37,40,112,0.33451440930366516,0.0
20,38,40,113,0.22956934571266174,3.5759973171324556e-37
20,40,40,118,0.21988482773303986,3.6003187913778875e-34
20,44,40,133,0.1854468435049057,1.2845941142668318e-24
21,30,41,77,0.19233177602291107,2.1741559674971113e-26
21,32,41,89,0.24325977265834808,1.1605553881538135e-41
21,39,41,114,0.25913795828819275,0.0
21,47,41,139,0.33620554208755493,0.0
23,34,50,95,0.24198807775974274,3.1174686935834205e-41
24,41,52,119,0.5721076726913452,0.0
25,28,54,67,0.28448909521102905,0.0
25,33,54,91,0.24273325502872467,1.7484000939380743e-41
25,43,54,128,0.48850399255752563,0.0
25,45,54,135,0.43912532925605774,0.0
27,46,62,137,0.785161018371582,0.0
28,33,67,91,0.5499756336212158,0.0
29,37,73,112,0.6946098208427429,0.0
29,38,73,113,0.6075807809829712,0.0
29,39,73,114,0.29860445857048035,0.0
29,43,73,128,0.2768259048461914,0.0
29,45,73,135,0.4878818392753601,0.0
30,36,77,100,0.4472163915634155,0.0
30,39,77,114,0.23102585971355438,1.2288142058053554e-37
30,42,77,124,0.6406705379486084,0.0
30,47,77,139,0.17479991912841797,5.184446375694341e-22
36,42,100,124,0.45851296186447144,0.0
37,38,112,113,0.7607709169387817,0.0
37,39,112,114,0.3295871615409851,0.0
37,43,112,128,0.2799529433250427,0.0
37,45,112,135,0.538151741027832,0.0
38,39,113,114,0.3243488669395447,0.0
38,43,113,128,0.31413039565086365,0.0
38,45,113,135,0.5512315034866333,0.0
39,43,114,128,0.2520628571510315,1.1210387714598537e-44
39,45,114,135,0.3125314712524414,0.0
39,47,114,139,0.2064039558172226,3.183119083721615e-30
40,44,118,133,0.1824318915605545,7.296140591370214e-24
43,45,128,135,0.736555814743042,0.0
